"","brand","emotion","age","n"
"589","bubble gum","neutral",11,1
"590","bubble gum","neutral",15,1
"591","bubble gum","neutral",16,1
"592","bubble gum","neutral",61,1
"593","bubble gum","neutral",62,1
"594","bubble gum","neutral",63,1
"595","bubble gum","neutral",72,1
"596","bubble gum","neutral",75,1
"597","bubble gum","neutral",99,1
"598","butterfinger","joy",30,187
"599","butterfinger","joy",35,179
"600","butterfinger","joy",34,174
"601","butterfinger","joy",33,170
"602","butterfinger","joy",31,168
"603","butterfinger","joy",32,167
"604","butterfinger","joy",45,148
"605","butterfinger","joy",29,135
"606","butterfinger","joy",27,129
"607","butterfinger","joy",28,127
"608","butterfinger","joy",38,123
"609","butterfinger","joy",36,121
"610","butterfinger","joy",40,121
"611","butterfinger","joy",37,115
"612","butterfinger","joy",26,113
"613","butterfinger","joy",46,99
"614","butterfinger","joy",43,95
"615","butterfinger","joy",44,93
"616","butterfinger","joy",25,91
"617","butterfinger","joy",39,89
"618","butterfinger","joy",42,88
"619","butterfinger","joy",41,86
"620","butterfinger","joy",24,76
"621","butterfinger","joy",50,66
"622","butterfinger","joy",47,63
"623","butterfinger","joy",23,58
"624","butterfinger","joy",49,55
"625","butterfinger","joy",22,52
"626","butterfinger","despair",32,50
"627","butterfinger","joy",52,49
"628","butterfinger","joy",48,48
"629","butterfinger","joy",53,48
"630","butterfinger","despair",35,47
"631","butterfinger","joy",51,47
"632","butterfinger","joy",54,45
"633","butterfinger","despair",30,38
"634","butterfinger","joy",55,38
"635","butterfinger","despair",27,37
"636","butterfinger","joy",21,37
"637","butterfinger","despair",26,36
"638","butterfinger","despair",29,36
"639","butterfinger","despair",31,35
"640","butterfinger","despair",33,35
"641","butterfinger","joy",58,35
"642","butterfinger","despair",45,34
"643","butterfinger","joy",20,34
"644","butterfinger","joy",57,34
"645","butterfinger","despair",28,33
"646","butterfinger","despair",36,33
"647","butterfinger","despair",37,33
"648","butterfinger","despair",42,30
"649","butterfinger","despair",44,28
"650","butterfinger","joy",19,28
"651","butterfinger","despair",38,27
"652","butterfinger","despair",39,27
"653","butterfinger","joy",56,26
"654","butterfinger","despair",24,25
"655","butterfinger","despair",34,25
"656","butterfinger","despair",40,24
"657","butterfinger","despair",41,24
"658","butterfinger","despair",50,23
"659","butterfinger","joy",18,23
"660","butterfinger","despair",48,22
"661","butterfinger","despair",43,21
"662","butterfinger","despair",46,21
"663","butterfinger","despair",52,21
"664","butterfinger","joy",62,20
"665","butterfinger","despair",25,19
"666","butterfinger","joy",60,19
"667","butterfinger","despair",22,18
"668","butterfinger","despair",47,18
"669","butterfinger","despair",51,18
"670","butterfinger","despair",21,17
"671","butterfinger","joy",17,17
"672","butterfinger","despair",23,16
"673","butterfinger","joy",59,16
"674","butterfinger","neutral",24,16
"675","butterfinger","neutral",40,16
"676","butterfinger","neutral",31,15
"677","butterfinger","neutral",34,15
"678","butterfinger","neutral",35,15
"679","butterfinger","despair",18,14
"680","butterfinger","joy",16,14
"681","butterfinger","joy",61,14
"682","butterfinger","joy",67,14
"683","butterfinger","neutral",30,14
"684","butterfinger","neutral",42,14
"685","butterfinger","neutral",27,13
"686","butterfinger","neutral",36,13
"687","butterfinger","neutral",39,13
"688","butterfinger","neutral",44,13
"689","butterfinger","despair",49,12
"690","butterfinger","joy",13,12
"691","butterfinger","neutral",33,12
"692","butterfinger","neutral",37,12
"693","butterfinger","despair",19,11
"694","butterfinger","despair",58,11
"695","butterfinger","joy",12,11
"696","butterfinger","despair",17,10
"697","butterfinger","joy",66,10
"698","butterfinger","neutral",29,10
"699","butterfinger","despair",13,9
"700","butterfinger","joy",63,9
"701","butterfinger","joy",65,9
"702","butterfinger","neutral",43,9
"703","butterfinger","despair",55,8
"704","butterfinger","despair",57,8
"705","butterfinger","neutral",21,8
"706","butterfinger","neutral",25,8
"707","butterfinger","neutral",38,8
"708","butterfinger","neutral",45,8
"709","butterfinger","neutral",50,8
"710","butterfinger","despair",14,7
"711","butterfinger","despair",20,7
"712","butterfinger","despair",59,7
"713","butterfinger","joy",70,7
"714","butterfinger","neutral",32,7
"715","butterfinger","neutral",47,7
"716","butterfinger","despair",16,6
"717","butterfinger","despair",53,6
"718","butterfinger","despair",56,6
"719","butterfinger","despair",60,6
"720","butterfinger","despair",64,6
"721","butterfinger","despair",65,6
"722","butterfinger","joy",9,6
"723","butterfinger","joy",14,6
"724","butterfinger","joy",64,6
"725","butterfinger","joy",69,6
"726","butterfinger","neutral",20,6
"727","butterfinger","neutral",26,6
"728","butterfinger","neutral",28,6
"729","butterfinger","neutral",41,6
"730","butterfinger","neutral",46,6
"731","butterfinger","despair",15,5
"732","butterfinger","joy",11,5
"733","butterfinger","joy",15,5
"734","butterfinger","neutral",54,5
"735","butterfinger","neutral",55,5
"736","butterfinger","neutral",56,5
"737","butterfinger","neutral",58,5
"738","butterfinger","neutral",64,5
"739","butterfinger","despair",54,4
"740","butterfinger","joy",10,4
"741","butterfinger","joy",71,4
"742","butterfinger","neutral",13,4
"743","butterfinger","neutral",22,4
"744","butterfinger","neutral",48,4
"745","butterfinger","neutral",52,4
"746","butterfinger","neutral",59,4
"747","butterfinger","despair",9,3
"748","butterfinger","despair",11,3
"749","butterfinger","despair",61,3
"750","butterfinger","despair",62,3
"751","butterfinger","despair",63,3
"752","butterfinger","despair",69,3
"753","butterfinger","joy",8,3
"754","butterfinger","joy",68,3
"755","butterfinger","joy",74,3
"756","butterfinger","joy",75,3
"757","butterfinger","neutral",19,3
"758","butterfinger","neutral",23,3
"759","butterfinger","neutral",67,3
"760","butterfinger","despair",66,2
"761","butterfinger","despair",67,2
"762","butterfinger","despair",68,2
"763","butterfinger","despair",70,2
"764","butterfinger","despair",72,2
"765","butterfinger","joy",6,2
"766","butterfinger","joy",72,2
"767","butterfinger","neutral",6,2
"768","butterfinger","neutral",14,2
"769","butterfinger","neutral",18,2
"770","butterfinger","neutral",57,2
"771","butterfinger","despair",7,1
"772","butterfinger","despair",10,1
"773","butterfinger","despair",12,1
"774","butterfinger","joy",5,1
"775","butterfinger","joy",7,1
"776","butterfinger","joy",77,1
"777","butterfinger","joy",85,1
"778","butterfinger","joy",97,1
"779","butterfinger","joy",99,1
"780","butterfinger","neutral",8,1
"781","butterfinger","neutral",16,1
"782","butterfinger","neutral",49,1
"783","butterfinger","neutral",51,1
"784","butterfinger","neutral",53,1
"785","butterfinger","neutral",60,1
"786","butterfinger","neutral",61,1
"787","butterfinger","neutral",62,1
"788","butterfinger","neutral",63,1
"789","butterfinger","neutral",65,1
"790","butterfinger","neutral",66,1
"791","butterfinger","neutral",70,1
"792","butterfinger","neutral",71,1
"793","butterfinger","neutral",72,1
"794","butterfinger","neutral",99,1
"795","caramellos","joy",35,149
"796","caramellos","joy",30,146
"797","caramellos","joy",31,139
"798","caramellos","joy",34,133
"799","caramellos","joy",32,129
"800","caramellos","joy",33,127
"801","caramellos","joy",45,116
"802","caramellos","joy",38,113
"803","caramellos","joy",36,108
"804","caramellos","joy",40,108
"805","caramellos","joy",29,107
"806","caramellos","joy",37,101
"807","caramellos","joy",43,92
"808","caramellos","joy",27,91
"809","caramellos","joy",39,87
"810","caramellos","joy",28,86
"811","caramellos","joy",44,83
"812","caramellos","joy",26,80
"813","caramellos","joy",41,79
"814","caramellos","joy",46,74
"815","caramellos","despair",32,73
"816","caramellos","despair",33,73
"817","caramellos","joy",42,70
